7	1	0	0	0	0	0	0	0	0	
10	7	5	3	2	1	1	1	0	0	
1	1	1	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
3	1	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
11	6	2	1	0	0	0	0	0	0	
19	5	3	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
2	1	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
50	50	48	41	25	15	8	7	3	1	
4	1	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	
2	1	1	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	0	
9	7	5	2	2	2	1	0	0	0	
10	6	2	2	2	1	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
50	50	50	50	47	40	30	25	12	5	
0	0	0	0	0	0	0	0	0	0	
8	4	1	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	
6	4	2	1	0	0	0	0	0	0	
50	50	50	50	50	50	50	50	46	24	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
3	2	0	0	0	0	0	0	0	0	
13	4	1	0	0	0	0	0	0	0	
9	4	2	1	0	0	0	0	0	0	
17	2	0	0	0	0	0	0	0	0	
18	13	9	7	6	3	1	0	0	0	
3	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	
32	18	9	3	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
27	22	16	9	4	0	0	0	0	0	
7	2	2	1	0	0	0	0	0	0	
1	1	0	0	0	0	0	0	0	0	
1	1	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
50	43	35	23	15	6	5	1	0	0	
50	46	28	16	10	6	2	1	1	0	
0	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
4	2	2	0	0	0	0	0	0	0	
5	3	3	2	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
50	50	49	45	35	27	10	6	2	0	
3	0	0	0	0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	0	
5	2	1	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
45	41	25	13	9	6	3	2	1	0	
3	0	0	0	0	0	0	0	0	0	
30	22	15	7	4	2	1	0	0	0	
1	0	0	0	0	0	0	0	0	0	
10	9	7	3	1	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
7	4	1	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	0	
6	4	1	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
14	12	6	2	0	0	0	0	0	0	
