32	5	0	
18	4	1	
67	18	2	
6	0	0	
60	19	3	
28	2	0	
19	2	0	
13	2	0	
17	0	0	
30	6	2	
9	0	0	
9	0	0	
19	1	0	
21	3	1	
11	0	0	
47	8	1	
47	6	0	
15	0	0	
10	0	0	
12	1	0	
8	1	0	
13	1	0	
41	4	1	
12	1	0	
21	2	0	
8	0	0	
18	0	0	
8	2	0	
8	0	0	
21	6	0	
39	7	0	
12	5	3	
84	9	1	
24	2	0	
92	22	4	
44	21	2	
23	1	0	
15	2	0	
9	1	0	
13	1	0	
13	0	0	
13	1	0	
197	116	48	
6	0	0	
5	1	0	
8	0	0	
84	12	2	
14	0	0	
4	0	0	
14	0	0	
9	0	0	
524	159	32	
34	1	0	
10	0	0	
3	0	0	
5	0	0	
8	3	1	
17	2	0	
30	4	1	
24	0	0	
19	6	4	
40	10	3	
47	9	0	
43	9	2	
20	1	0	
56	13	6	
259	77	14	
14	6	0	
10	0	0	
21	4	2	
10	1	0	
17	3	0	
6	1	0	
32	5	1	
17	0	0	
24	5	0	
6	0	0	
30	3	0	
13	1	0	
11	1	0	
14	1	0	
17	4	2	
103	20	0	
5	0	0	
12	1	0	
18	1	0	
71	13	1	
16	2	0	
9	2	0	
15	3	0	
19	5	0	
71	17	7	
47	4	0	
18	1	0	
224	63	11	
10	1	0	
6	1	0	
14	1	0	
20	4	1	
13	0	0	
7	0	0	
10	0	0	
10	0	0	
14	4	0	
11	2	0	
10	0	0	
14	0	0	
9	2	0	
12	3	1	
65	13	0	
9	0	0	
10	1	0	
7	1	0	
27	4	0	
23	4	0	
17	2	0	
5	0	0	
9	0	0	
28	0	0	
36	9	3	
8	0	0	
10	0	0	
30	5	0	
12	2	0	
9	1	1	
28	3	0	
12	1	0	
9	1	0	
16	3	2	
134	26	3	
22	3	1	
22	1	0	
15	1	0	
11	0	0	
29	2	0	
26	2	0	
12	4	2	
23	3	0	
8	1	0	
44	13	2	
19	0	0	
16	0	0	
18	1	0	
10	0	0	
15	2	1	
13	0	0	
27	3	0	
19	1	0	
7	1	0	
8	3	0	
278	62	7	
10	4	1	
13	1	1	
11	0	0	
10	0	0	
16	0	0	
20	6	0	
222	28	5	
35	9	3	
18	5	0	
14	0	0	
8	2	1	
10	0	0	
34	2	0	
7	1	0	
8	0	0	
18	0	0	
30	8	1	
223	138	65	
17	1	0	
10	1	0	
45	9	0	
14	1	0	
27	5	2	
22	2	0	
6	0	0	
38	1	0	
16	0	0	
12	2	0	
11	1	0	
15	3	1	
10	3	0	
38	14	3	
6	1	0	
10	0	0	
34	2	0	
16	0	0	
11	1	0	
11	0	0	
10	1	0	
257	161	62	
7	0	0	
34	5	2	
23	1	0	
7	0	0	
11	1	0	
14	1	0	
13	2	0	
7	0	0	
19	5	0	
22	4	0	
15	1	0	
58	15	5	
11	0	0	
18	5	0	
43	7	2	
17	2	0	
7	0	0	
35	3	0	
19	3	0	
6	0	0	
64	12	3	
11	1	0	
14	8	1	
43	7	1	
23	4	0	
12	2	0	
22	2	0	
14	1	1	
48	7	0	
100	9	0	
46	9	2	
47	7	1	
22	2	0	
16	0	0	
41	4	1	
10	1	0	
20	3	0	
3	0	0	
7	0	0	
8	1	0	
9	1	0	
35	7	0	
27	2	0	
8	0	0	
9	0	0	
37	7	1	
27	1	0	
34	8	3	
133	35	8	
17	1	0	
9	0	0	
10	0	0	
92	35	16	
36	1	0	
44	6	2	
10	1	0	
13	5	4	
15	1	0	
12	1	0	
14	1	0	
21	4	2	
168	20	2	
32	4	2	
28	2	0	
13	1	0	
20	1	0	
44	3	1	
17	1	0	
19	1	0	
10	0	0	
18	3	0	
9	1	0	
56	20	2	
8	1	0	
7	0	0	
9	1	0	
54	4	0	
15	0	0	
13	1	0	
73	15	0	
50	18	5	
14	3	0	
11	1	0	
7	1	0	
15	1	0	
23	3	0	
46	5	0	
21	0	0	
7	1	0	
20	0	0	
29	5	1	
95	12	1	
57	21	4	
33	7	0	
9	0	0	
16	2	0	
14	0	0	
16	3	0	
25	0	0	
5	0	0	
52	3	0	
16	3	0	
57	23	7	
24	6	1	
60	9	0	
8	0	0	
18	2	0	
6	0	0	
9	1	0	
16	1	0	
16	5	0	
27	3	1	
326	59	13	
62	10	0	
53	10	0	
12	0	0	
13	1	0	
274	104	21	
16	6	2	
13	0	0	
17	1	0	
5	0	0	
18	0	0	
14	1	0	
17	1	0	
32	2	0	
24	1	0	
6	1	0	
13	1	0	
22	1	0	
12	3	0	
8	0	0	
3	0	0	
11	0	0	
133	25	4	
16	2	0	
248	65	12	
14	1	0	
37	1	0	
31	6	0	
12	2	1	
14	1	0	
16	2	0	
18	0	0	
70	10	2	
12	0	0	
11	0	0	
17	2	0	
10	0	0	
189	74	20	
9	1	0	
27	1	0	
26	3	0	
12	0	0	
15	0	0	
33	6	0	
30	5	0	
61	11	1	
7	1	0	
8	1	0	
11	4	2	
601	212	39	
100	34	6	
21	1	0	
23	4	0	
9	0	0	
19	4	1	
15	2	1	
359	50	5	
19	3	1	
12	1	0	
20	1	0	
7	0	0	
39	5	0	
81	35	8	
18	0	0	
12	1	0	
63	17	3	
26	4	0	
36	5	0	
90	11	1	
9	1	0	
13	2	0	
21	2	0	
742	252	82	
90	12	4	
21	0	0	
8	1	0	
3	0	0	
9	2	0	
89	6	0	
8	0	0	
11	0	0	
18	2	0	
14	4	0	
12	0	0	
132	59	6	
24	7	2	
17	0	0	
28	8	1	
11	1	0	
20	0	0	
21	2	2	
8	1	0	
42	4	0	
30	3	0	
20	2	0	
19	3	0	
30	0	0	
70	19	7	
20	2	0	
31	6	1	
28	7	0	
8	0	0	
14	1	0	
10	1	0	
4	0	0	
15	2	0	
25	7	0	
131	28	3	
45	14	4	
9	0	0	
9	0	0	
9	0	0	
10	1	0	
22	3	1	
21	5	0	
21	2	0	
24	4	0	
52	6	0	
14	1	0	
13	0	0	
69	8	0	
18	2	0	
20	1	0	
22	3	1	
13	0	0	
25	2	0	
16	3	0	
30	3	3	
12	1	0	
